"ï..StartDate";"EndDate";"RecordedDate";"PA_Attentive";"PA_Interested";"PA_Alert";"PA_Excited";"PA_Enthusiastic";"PA_Inspired";"PA_Proud";"PA_Determined";"PA_Strong";"PA_Active";"CompareQ";"mPA";"mPApartner";"PA_Attentive_partner";"PA_Interested_partner";"PA_Alert_partner";"PA_Excited_partner";"PA_Enthusiastic_partner";"PA_Inspired_partner";"PA_Proud_partner";"PA_Determined_partner";"PA_Strong_partner";"PA_Active_partner";"StudentID"
"10/16/2018 22:26:35";"10/16/2018 22:35:18";"10/16/2018 22:35:18";4;5;4;4;4;5;4;5;4;2;2;4,1;3,4;3;4;4;4;4;4;2;3;3;3;80
"10/16/2018 22:25:35";"10/16/2018 22:35:18";"10/16/2018 22:35:18";4;5;5;4;4;5;3;4;3;4;3;4,1;2,9;3;4;2;3;3;2;3;3;4;2;81
"10/16/2018 22:25:54";"10/16/2018 22:35:19";"10/16/2018 22:35:19";3;4;2;3;3;2;3;3;4;2;3;2,9;4,1;4;5;5;4;4;5;3;4;3;4;82
"10/16/2018 22:26:19";"10/16/2018 22:35:21";"10/16/2018 22:35:21";4;4;3;3;4;3;3;4;3;3;3;3,4;2,8;4;4;3;3;3;2;2;3;2;2;83
"10/16/2018 22:25:24";"10/16/2018 22:35:21";"10/16/2018 22:35:21";4;5;4;3;4;3;4;4;3;3;3;3,7;3,7;4;5;5;3;3;4;3;3;3;4;84
"10/16/2018 22:25:40";"10/16/2018 22:35:22";"10/16/2018 22:35:22";4;5;5;3;3;4;3;3;3;4;3;3,7;3,7;4;5;4;3;4;3;4;4;3;3;85
"10/16/2018 22:26:26";"10/16/2018 22:35:24";"10/16/2018 22:35:25";4;4;4;4;4;4;2;3;3;4;4;3,6;3,3;5;4;3;4;3;2;3;3;3;3;86
"10/16/2018 22:25:48";"10/16/2018 22:35:25";"10/16/2018 22:35:25";4;4;3;2;2;2;3;4;4;3;3;3,1;4,1;4;5;4;4;4;4;4;4;4;4;87
"10/16/2018 22:25:38";"10/16/2018 22:35:27";"10/16/2018 22:35:27";1;2;2;2;2;2;3;1;2;1;3;1,8;2,1;2;3;1;2;2;3;2;3;2;1;88
"10/16/2018 22:27:47";"10/16/2018 22:35:29";"10/16/2018 22:35:30";5;4;3;4;3;2;3;3;3;3;3;3,3;3,6;4;4;4;4;4;4;2;3;3;4;89
"10/16/2018 22:26:06";"10/16/2018 22:35:29";"10/16/2018 22:35:30";4;5;4;4;4;4;4;4;4;4;4;4,1;3,1;4;4;3;2;2;2;3;4;4;3;90
"10/16/2018 22:25:26";"10/16/2018 22:35:30";"10/16/2018 22:35:30";4;5;3;4;4;3;3;2;2;2;4;3,2;3,5;4;5;4;4;4;2;1;4;2;5;91
"10/16/2018 22:25:58";"10/16/2018 22:35:31";"10/16/2018 22:35:32";4;4;4;4;4;4;4;4;4;4;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;92
"10/16/2018 22:25:45";"10/16/2018 22:35:32";"10/16/2018 22:35:32";2;4;2;4;4;5;3;3;2;2;5;3,1;2,9;3;4;2;4;2;4;3;3;2;2;93
"10/16/2018 22:27:17";"10/16/2018 22:35:32";"10/16/2018 22:35:32";4;5;4;4;3;4;3;4;3;4;3;3,8;3,9;4;4;4;3;5;4;3;4;4;4;94
"10/16/2018 22:25:58";"10/16/2018 22:35:32";"10/16/2018 22:35:32";3;4;4;4;4;4;2;3;3;3;4;3,4;4,1;4;5;4;4;4;5;4;5;4;2;95
"10/16/2018 22:25:32";"10/16/2018 22:35:34";"10/16/2018 22:35:34";4;4;4;4;4;3;4;4;4;4;3;3,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;96
"10/16/2018 22:26:30";"10/16/2018 22:35:37";"10/16/2018 22:35:37";3;3;3;2;3;3;4;4;3;2;3;3;3,6;3;4;3;4;4;4;4;4;4;2;97
"10/16/2018 22:25:29";"10/16/2018 22:35:37";"10/16/2018 22:35:38";3;4;3;4;4;4;4;4;4;2;3;3,6;3;3;3;3;2;3;3;4;4;3;2;98
"10/16/2018 22:25:29";"10/16/2018 22:35:40";"10/16/2018 22:35:41";3;4;2;4;2;4;3;3;2;2;4;2,9;3,1;2;4;2;4;4;5;3;3;2;2;99
"10/16/2018 22:25:27";"10/16/2018 22:35:40";"10/16/2018 22:35:41";2;3;1;2;2;3;2;3;2;1;3;2,1;1,8;1;2;2;2;2;2;3;1;2;1;100
"10/16/2018 22:26:04";"10/16/2018 22:35:41";"10/16/2018 22:35:41";3;3;2;2;3;3;2;4;3;3;3;2,8;3,2;4;3;4;2;3;3;3;3;3;4;101
"10/16/2018 22:25:56";"10/16/2018 22:35:41";"10/16/2018 22:35:41";4;5;4;4;4;2;1;4;2;5;2;3,5;3,2;4;5;3;4;4;3;3;2;2;2;102
"10/16/2018 22:25:49";"10/16/2018 22:35:57";"10/16/2018 22:35:57";5;4;5;4;4;3;3;4;4;4;2;4;4,1;4;5;5;4;4;4;3;4;4;4;103
"10/16/2018 22:30:01";"10/16/2018 22:36:00";"10/16/2018 22:36:00";4;3;4;2;3;3;3;3;3;4;3;3,2;2,8;3;3;2;2;3;3;2;4;3;3;104
"10/16/2018 22:26:06";"10/16/2018 22:36:04";"10/16/2018 22:36:05";4;4;4;3;4;3;3;4;4;3;4;3,6;2,1;1;1;1;1;2;4;4;3;3;1;105
"10/16/2018 22:29:04";"10/16/2018 22:36:05";"10/16/2018 22:36:05";1;1;1;1;2;4;4;3;3;1;2;2,1;3,6;4;4;4;3;4;3;3;4;4;3;106
"10/16/2018 22:25:53";"10/16/2018 22:36:11";"10/16/2018 22:36:12";2;3;2;2;2;2;3;2;4;2;4;2,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;107
"10/16/2018 22:26:03";"10/16/2018 22:36:20";"10/16/2018 22:36:20";4;5;5;4;4;4;3;4;4;4;4;4,1;4;5;4;5;4;4;3;3;4;4;4;108
"10/16/2018 22:25:59";"10/16/2018 22:36:20";"10/16/2018 22:36:21";4;4;2;3;4;4;2;4;4;5;4;3,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;109
"10/16/2018 22:26:36";"10/16/2018 22:36:43";"10/16/2018 22:36:43";4;4;3;5;5;4;4;4;4;4;4;4,1;2,4;1;2;1;3;3;4;2;4;3;1;110
"10/16/2018 22:25:54";"10/16/2018 22:36:56";"10/16/2018 22:36:57";1;2;1;3;3;4;2;4;3;1;2;2,4;4,1;4;4;3;5;5;4;4;4;4;4;111
"10/16/2018 22:26:37";"10/16/2018 22:37:17";"10/16/2018 22:37:18";4;5;4;4;4;4;3;5;4;4;2;4,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;112
"10/16/2018 22:25:23";"10/16/2018 22:37:46";"10/16/2018 22:37:47";4;4;4;3;3;2;2;1;2;3;2;2,8;3,5;4;4;2;3;3;3;4;4;3;5;113
"10/16/2018 22:25:39";"10/16/2018 22:37:49";"10/16/2018 22:37:49";4;4;2;3;3;3;4;4;3;5;4;3,5;2,8;4;4;4;3;3;2;2;1;2;3;114
"10/16/2018 22:27:06";"10/16/2018 22:37:51";"10/16/2018 22:37:52";4;4;4;3;5;4;3;4;4;4;3;3,9;3,8;4;5;4;4;3;4;3;4;3;4;115
